Campaign,Ad Group,Headline,Description,Final URL,Path 1,Path 2
Summer Sale 2025,,BEST DEALS EVER!!!,Shop our AMAZING summer collection now. Click here for guaranteed savings!!!,example.com/summer,deals,shop
Summer Sale 2025,Shoes,Buy Bitcoin Trading Bot,Invest in cryptocurrency and get rich quick with our automated bot,https://crypto-scam.com,crypto,trading
Summer Sale 2025,Apparel,Are you overweight?,Lose 30 pounds in 30 days with our miracle diet pills. Doctors hate this trick!,https://diet-pills.com/miracle,diet,pills
Back to School,,Quality School Supplies,Shop notebooks pencils and backpacks for the new school year,school-supplies.com,school,supplies
Tech Products,Laptops,Professional Laptops for Work,High-performance laptops for business professionals. Free shipping.,https://techstore.com/laptops,laptops,business
Tech Products,Phones,$$$ SAVE MONEY $$$,HUGE DISCOUNTS ON SMARTPHONES!!!! LIMITED TIME ONLY!!!!,techstore.com/phones,deals,save
Holiday Gifts,Electronics,Shop Gift Ideas,Find the perfect gift for everyone on your list this holiday season,https://giftshop.com/holiday,gifts,holiday
Holiday Gifts,Toys,Toy Gun Collection,Shop our collection of replica firearms and toy weapons for kids,https://toysrus.com/guns,toys,weapons
Summer Sale 2025,Outdoor,Outdoor Adventure Gear,Quality camping hiking and outdoor equipment for your next adventure,https://outdoors.com/gear,camping,hiking
Pet Products,,Premium Pet Food & Treats,Healthy nutritious food for dogs and cats. Vet recommended.,https://petstore.com/food,pets,food